Flight Code, Airline Name                           , Departure Time, Arrival Time, Duration, Stops, Price   , Departure City, Arrival City, Travel Class, Date of Travel
VJ-521     , VietJet Air                            , 20:50         , 11:40       , 14h 50m ,     1,  2279678, Hà Nội        , Hải Phòng   , Phổ thông   , 13/11/2025
VJ-501     , VietJet Air                            , 20:35         , 11:40       , 15h 5m  ,     1,  2279678, Hà Nội        , Hải Phòng   , Phổ thông   , 13/11/2025
VJ-517     , VietJet Air                            , 19:05         , 11:40       , 16h 35m ,     1,  2279678, Hà Nội        , Hải Phòng   , Phổ thông   , 13/11/2025
VJ-521     , VietJet Air                            , 20:50         , 18:30       , 21h 40m ,     1,  2279678, Hà Nội        , Hải Phòng   , Phổ thông   , 13/11/2025
VJ-501     , VietJet Air                            , 20:35         , 18:30       , 21h 55m ,     1,  2279678, Hà Nội        , Hải Phòng   , Phổ thông   , 13/11/2025
VJ-517     , VietJet Air                            , 19:05         , 18:30       , 23h 25m ,     1,  2279678, Hà Nội        , Hải Phòng   , Phổ thông   , 13/11/2025
VJ-503     , VietJet Air                            , 05:55         , 11:40       , 5h 45m  ,     1,  2504578, Hà Nội        , Hải Phòng   , Phổ thông   , 13/11/2025
VU-635     , "Vietravel Airlines, VietJet Air"      , 06:25         , 11:40       , 5h 15m  ,     1,  2505480, Hà Nội        , Hải Phòng   , Phổ thông   , 13/11/2025
VU-639     , "Vietravel Airlines, VietJet Air"      , 16:50         , 11:40       , 18h 50m ,     1,  2630615, Hà Nội        , Hải Phòng   , Phổ thông   , 13/11/2025
VJ-503     , "VietJet Air, Vietnam Airlines"        , 05:55         , 10:45       , 4h 50m  ,     1,  3021799, Hà Nội        , Hải Phòng   , Phổ thông   , 13/11/2025
VN-157     , "Vietnam Airlines, VietJet Air"        , 06:00         , 11:40       , 5h 40m  ,     1,  3087201, Hà Nội        , Hải Phòng   , Phổ thông   , 13/11/2025
VN-157     , Vietnam Airlines                       , 06:00         , 10:45       , 4h 45m  ,     1,  3604422, Hà Nội        , Hải Phòng   , Phổ thông   , 13/11/2025
N/A        , VietJet Air                            , 19:05         , 11:40       , 16h 35m ,     1,  2248895, Hà Nội        , Hải Phòng   , Phổ thông   , 14/11/2025
VJ-517     , VietJet Air                            , 19:05         , 18:30       , 23h 25m ,     1,  2248895, Hà Nội        , Hải Phòng   , Phổ thông   , 14/11/2025
VJ-521     , VietJet Air                            , 20:50         , 11:40       , 14h 50m ,     1,  2279678, Hà Nội        , Hải Phòng   , Phổ thông   , 14/11/2025
VJ-501     , VietJet Air                            , 20:35         , 11:40       , 15h 5m  ,     1,  2279678, Hà Nội        , Hải Phòng   , Phổ thông   , 14/11/2025
VJ-521     , VietJet Air                            , 20:50         , 18:30       , 21h 40m ,     1,  2279678, Hà Nội        , Hải Phòng   , Phổ thông   , 14/11/2025
VJ-501     , VietJet Air                            , 20:35         , 18:30       , 21h 55m ,     1,  2279678, Hà Nội        , Hải Phòng   , Phổ thông   , 14/11/2025
VJ-515     , VietJet Air                            , 16:25         , 11:40       , 19h 15m ,     1,  2497295, Hà Nội        , Hải Phòng   , Phổ thông   , 14/11/2025
VJ-503     , VietJet Air                            , 05:55         , 11:40       , 5h 45m  ,     1,  2504578, Hà Nội        , Hải Phòng   , Phổ thông   , 14/11/2025
VU-635     , "Vietravel Airlines, VietJet Air"      , 06:25         , 11:40       , 5h 15m  ,     1,  2505480, Hà Nội        , Hải Phòng   , Phổ thông   , 14/11/2025
VJ-503     , "VietJet Air, Vietnam Airlines"        , 05:55         , 10:45       , 4h 50m  ,     1,  3021799, Hà Nội        , Hải Phòng   , Phổ thông   , 14/11/2025
VN-157     , "Vietnam Airlines, VietJet Air"        , 06:00         , 11:40       , 5h 40m  ,     1,  3087201, Hà Nội        , Hải Phòng   , Phổ thông   , 14/11/2025
VN-157     , Vietnam Airlines                       , 06:00         , 10:45       , 4h 45m  ,     1,  3604422, Hà Nội        , Hải Phòng   , Phổ thông   , 14/11/2025
