Flight Code,Airline Name,Departure Time,Arrival Time,Duration,Stops,Price,Departure City,Arrival City,Travel Class,Date of Travel
"VJ-519, VJ-720",VietJet Air,20:05,11:40,15h 35m,1,1634479,Hà Nội,Hải Phòng,Phổ thông,15/11/2025
"VJ-521, VJ-720",VietJet Air,20:50,11:40,14h 50m,1,1857136,Hà Nội,Hải Phòng,Phổ thông,15/11/2025
"VJ-501, VJ-720",VietJet Air,20:35,11:40,15h 5m,1,1857136,Hà Nội,Hải Phòng,Phổ thông,15/11/2025
"VJ-519, VJ-722",VietJet Air,20:05,18:30,22h 25m,1,1885594,Hà Nội,Hải Phòng,Phổ thông,15/11/2025
"VJ-519, VN-1670","VietJet Air, Vietnam Airlines",20:05,10:45,14h 40m,1,1904911,Hà Nội,Hải Phòng,Phổ thông,15/11/2025
"VU-639, VJ-720","Vietravel Airlines, VietJet Air",16:50,11:40,18h 50m,1,2020108,Hà Nội,Hải Phòng,Phổ thông,15/11/2025
"QH-147, VJ-720","Bamboo Airways, VietJet Air",16:15,11:40,19h 25m,1,2046252,Hà Nội,Hải Phòng,Phổ thông,15/11/2025
"VU-635, VJ-720","Vietravel Airlines, VietJet Air",06:25,12:10,5h 45m,1,2131445,Hà Nội,Hải Phòng,Phổ thông,15/11/2025
"VJ-503, VJ-720",VietJet Air,05:55,12:10,6h 15m,1,2313690,Hà Nội,Hải Phòng,Phổ thông,15/11/2025
"VN-157, VJ-720","Vietnam Airlines, VietJet Air",06:00,12:10,6h 10m,1,2783406,Hà Nội,Hải Phòng,Phổ thông,15/11/2025
"VJ-503, VN-1670","VietJet Air, Vietnam Airlines",05:55,10:45,4h 50m,1,4015488,Hà Nội,Hải Phòng,Phổ thông,15/11/2025
N/A,Bamboo Airways,16:15,17:40,1h 25m,0,1112684,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VJ-519,VietJet Air,20:05,21:25,1h 20m,0,700911,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VJ-501,VietJet Air,20:35,21:55,1h 20m,0,923568,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VJ-521,VietJet Air,20:50,22:10,1h 20m,0,923568,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VU-639,Vietravel Airlines,16:50,18:10,1h 20m,0,1086540,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VJ-517,VietJet Air,19:05,20:25,1h 20m,0,1174683,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VU-635,Vietravel Airlines,06:25,07:45,1h 20m,0,1224845,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
N/A,Vietnam Airlines,14:00,15:20,1h 20m,0,1257301,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VJ-513,VietJet Air,13:35,14:55,1h 20m,0,1264537,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VJ-511,VietJet Air,14:20,15:40,1h 20m,0,1264537,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VJ-515,VietJet Air,16:25,17:45,1h 20m,0,1271915,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VJ-503,VietJet Air,05:55,07:10,1h 15m,0,1407090,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VN-169,Vietnam Airlines,11:45,13:05,1h 20m,0,1424804,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VN-173,Vietnam Airlines,15:05,16:25,1h 20m,0,1616098,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VJ-507,VietJet Air,10:30,11:50,1h 20m,0,1692461,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VN-165,Vietnam Airlines,10:10,11:30,1h 20m,0,1782556,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VN-167,Vietnam Airlines,11:55,13:15,1h 20m,0,1783708,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VN-157,Vietnam Airlines,06:00,07:20,1h 20m,0,1876806,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VN-7197,Vietnam Airlines,20:20,21:40,1h 20m,0,1950058,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VN-6081,Vietnam Airlines,08:15,09:40,1h 25m,0,1993485,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VN-163,Vietnam Airlines,08:20,09:40,1h 20m,0,2050330,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
VN-6071,Vietnam Airlines,18:20,19:45,1h 25m,0,2583879,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
"QH-299, QH-150",Bamboo Airways,23:05,07:40,8h 35m,1,2460048,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
"VJ-123, VJ-634",VietJet Air,22:10,13:00,14h 50m,1,2526426,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
"VJ-131, VJ-634",VietJet Air,17:45,13:00,19h 15m,1,2526426,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
"QH-299, QH-154",Bamboo Airways,23:05,10:15,11h 10m,1,2550696,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
"QH-283, QH-150",Bamboo Airways,22:35,07:40,9h 5m,1,2569262,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
"VJ-155, VJ-626",VietJet Air,20:05,10:45,14h 40m,1,3007572,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
"VJ-173, VJ-626",VietJet Air,19:05,10:45,15h 40m,1,3007572,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
"VJ-163, VJ-626",VietJet Air,17:20,10:45,17h 25m,1,3007572,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
"VJ-191, VJ-636",VietJet Air,15:55,00:20,8h 25m,1,3011363,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
"VJ-145, VJ-636",VietJet Air,15:35,00:20,8h 45m,1,3011363,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
"VJ-199, VJ-636",VietJet Air,15:35,00:20,8h 45m,1,3011363,Hà Nội,Đà Nẵng,Phổ thông,15/11/2025
